outbreak,date,days_after_declaration,cumulative_cases,case_definition,source_name,source_url,notes
2014 West Africa outbreak,2014-03-22,0,49,confirmed/probable/suspected aggregated as reported,Caitlin Rivers ebola country_timeseries.csv,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,Guinea + Liberia + Sierra Leone when available; Day column from source.
2014 West Africa outbreak,2014-04-01,10,137,confirmed/probable/suspected aggregated as reported,Caitlin Rivers ebola country_timeseries.csv,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,127 Guinea + 8 Liberia + 2 Sierra Leone.
2014 West Africa outbreak,2014-04-11,20,187,confirmed/probable/suspected aggregated as reported,Caitlin Rivers ebola country_timeseries.csv,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,159 Guinea + 26 Liberia + 2 Sierra Leone.
2014 West Africa outbreak,2014-05-01,40,239,confirmed/probable/suspected aggregated as reported,Caitlin Rivers ebola country_timeseries.csv,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,226 Guinea + 13 Liberia + 0 Sierra Leone.
2014 West Africa outbreak,2014-05-23,62,270,confirmed/probable/suspected aggregated as reported,Caitlin Rivers ebola country_timeseries.csv,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,258 Guinea + 12 Liberia + 0 Sierra Leone.
2014 West Africa outbreak,2014-06-10,80,453,confirmed/probable/suspected aggregated as reported,Caitlin Rivers ebola country_timeseries.csv,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,351 Guinea + 13 Liberia + 89 Sierra Leone.
2014 West Africa outbreak,2014-06-30,100,759,confirmed/probable/suspected aggregated as reported,Caitlin Rivers ebola country_timeseries.csv,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,413 Guinea + 107 Liberia + 239 Sierra Leone; this matches the NYT 759-at-100-days endpoint.
2014 West Africa outbreak,2014-07-27,126,1322,confirmed/probable/suspected aggregated as reported,Caitlin Rivers ebola country_timeseries.csv,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,460 Guinea + 329 Liberia + 533 Sierra Leone.
2014 West Africa outbreak,2014-08-18,149,2458,confirmed/probable/suspected aggregated as reported,Caitlin Rivers ebola country_timeseries.csv,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,579 Guinea + 972 Liberia + 907 Sierra Leone.
2014 West Africa outbreak,2014-08-31,162,3685,confirmed/probable/suspected aggregated as reported,WHO Disease Outbreak News / Caitlin Rivers ebola country_timeseries.csv,https://www.who.int/emergencies/disease-outbreak-news/item/2014_09_04_ebola-en,WHO reports 3685 cases across Guinea Liberia and Sierra Leone as of 31 Aug 2014.
2014 West Africa outbreak,2014-09-28,190,7157,confirmed/probable/suspected aggregated as reported,Caitlin Rivers ebola country_timeseries.csv,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,1157 Guinea + 3696 Liberia + 2304 Sierra Leone.
2014 West Africa outbreak,2014-10-01,193,7470,confirmed/probable/suspected aggregated as reported,Caitlin Rivers ebola country_timeseries.csv,https://raw.githubusercontent.com/cmrivers/ebola/master/country_timeseries.csv,1199 Guinea + 3834 Liberia + 2437 Sierra Leone.
2018 Congo outbreak,2018-08-03,2,43,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/4-august-2018-ebola-drc-en,North Kivu/Ituri outbreak declared 1 Aug 2018; data as of 3 Aug.
2018 Congo outbreak,2018-08-07,6,44,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/9-august-2018-ebola-drc-en,Data as of 7 Aug.
2018 Congo outbreak,2018-08-15,14,78,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/17-august-2018-ebola-drc-en,Data as of 15 Aug.
2018 Congo outbreak,2018-08-22,21,103,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/24-august-2018-ebola-drc-en,Data as of 22 Aug.
2018 Congo outbreak,2018-09-05,35,129,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/7-september-2018-ebola-drc-en,Data as of 5 Sep.
2018 Congo outbreak,2018-09-12,42,137,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/14-september-2018-ebola-drc-en,Data as of 12 Sep.
2018 Congo outbreak,2018-09-18,48,142,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/20-september-2018-ebola-drc-en,Data as of 18 Sep.
2018 Congo outbreak,2018-10-09,69,194,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/11-october-2018-ebola-drc-en,Data as of 9 Oct.
2018 Congo outbreak,2018-10-16,76,220,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/18-october-2018-ebola-drc-en,Data as of 16 Oct.
2018 Congo outbreak,2018-10-30,90,279,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/01-november-2018-ebola-drc-en,Data as of 30 Oct.
2018 Congo outbreak,2018-11-20,111,386,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/22-november-2018-ebola-drc-en,Data as of 20 Nov.
2018 Congo outbreak,2018-12-11,132,505,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/13-December-2018-ebola-drc-en,Data as of 11 Dec.
2018 Congo outbreak,2018-12-26,147,591,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/28-december-2018-ebola-drc-en,Data as of 26 Dec.
2018 Congo outbreak,2019-01-08,160,628,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON114,Data as of 8 Jan.
2018 Congo outbreak,2019-01-29,181,752,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON125,Data as of 29 Jan.
2018 Congo outbreak,2019-02-12,195,823,confirmed/probable,WHO Disease Outbreak News,https://www.who.int/emergencies/disease-outbreak-news/item/2019-DON168,Data as of 12 Feb.
