report_date,days_after_declaration,sitrep,cumulative_confirmed_cases,source_file
2026-05-14,-1,1,8,Draft-MVE-Ituri-ActuelB-1.pdf
2026-05-17,2,2,13,Sitrep_MVE-Ituri_N°-002_18-mai-2026.pdf
2026-05-19,4,5,51,Draft_SitRep_MVE_RDC_20260520_vf1.pdf
2026-05-20,5,,64,SitRep_MVE_RDC_20260521_editing-FV.pdf
2026-05-21,6,7,83,SitRep_MVE_RDC_20260512-FDv2_IM.pdf
2026-05-22,7,8,91,Draft_SitRep_MVE_RDC_2022vf2_IM.pdf
2026-05-23,8,9,101,SitRep_MVE_RDC_2024fv1_IM.pdf
2026-05-24,9,10,105,SitRep_MVE_RDC_NA°010_25_05_26fv_IM.pdf
2026-05-25,10,11,106,SitRep_MVE_RDC_NA°011_IM.pdf
2026-05-26,11,12,121,SitRep_MVE_RDC_N°012_26052026_Vf2_IM.pdf
2026-05-27,12,13,125,SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf
2026-05-28,13,14,210,Draft_SitRep_MVE_RDC_NA°014_28_05_2026_VF-1.pdf
2026-05-29,14,15,263,Draft_SitRep_MVE_RDC_NA°015_29_05_2026.pdf
2026-05-30,15,16,282,SitRep_MVE_RDC_N°016_31_05_2026.pdf
2026-05-31,16,17,321,SitRep_MVE_RDC_N017_01_06_2026-Revised_JO_PA_IM-1.pdf
2026-06-01,17,18,344,Daft-SitRep_MVE_RDC_N18_01_06_2026_JO_PA-Final-1.pdf
2026-06-02,18,19,363,Draft-1-SitRep_MVE_RDC_N19_02_06_2026-_JO_PA-FINAL.-2.pdf
2026-06-03,19,20,381,Draft-2-SitRep_MVE_RDC_N20_02_06_2026-_JO_PA-FINAL.pdf
2026-06-04,20,21,452,SitRep_MVE_RDC_N21_04_JUIN_2026-_JO_PA-FINAL_OK.pdf
2026-06-05,21,22,488,VF_SitRep_MVE_RDC_N22_06_06_2026-FD_JO2_PA.pdf
2026-06-06,22,23,515,VF-Draft-Final-SitRep_MVE_RDC_NA°23_07_06_2026-FD.pdf
2026-06-07,23,24,550,SitRep_MVE_RDC_N°24_07_06_2026-FD.pdf
2026-06-08,24,25,598,SitRep_MVE_RDC_N°25_08_06_2026-FD-1.pdf
2026-06-09,25,26,635,SitRep_MVE_RDC_N°26_09_06_2026_Final.pdf
2026-06-10,26,27,676,Draft_1_SitRep_MVE_RDC_N°27_10_06_2026-2.pdf
2026-06-11,27,28,689,SitRep_MVE_RDC_N°28_11062026_Final.pdf
2026-06-13,29,30,782,Draft-Final_SitRep_MVE_RDC_N°30_13_06_2026-FD-1-1.pdf
2026-06-14,30,31,808,VF-SitRep_MVE_RDC_N°31_14_06_2026.pdf
2026-06-15,31,32,837,Final_SitRep_MVE_RDC_N°32_15_06_2026-1.pdf
2026-06-16,32,33,875,SitRep_MVE_RDC_N°33_16_06_2026.pdf
2026-06-17,33,34,896,Draft-1-SitRep_MVE_RDC_N34_17_06_2026_JO2-1.pdf
2026-06-18,34,35,933,Draft-Final-SitRep_MVE_RDC_N35_18_06_2026.pdf
2026-06-19,35,36,956,VF-SitRep_MVE_RDC_N°036_19_06_2026.pdf
2026-06-20,36,37,1003,Draft-Final-SitRep_MVE_RDC_N°037_20_06_2026.pdf
2026-06-21,37,38,1048,SitRep_MVE_RDC_N038_21Jun2026_Final_JO2_260622_235251.pdf
2026-06-22,38,39,1094,Draft-1-SitRep_MVE_RDC_N039_22_06_2026_260623_211140.pdf
2026-06-23,39,40,1118,Draft-1-SitRep_MVE_RDC_N°040_23_06_2026.pdf
2026-06-24,40,41,1155,Final-SitRep_MVE_RDC_N°041_24_06_2026-1.pdf
2026-06-25,41,42,1203,Draft-1-SitRep_MVE_RDC_N°042_25_06_2026.pdf
2026-06-27,43,44,1274,Final-SitRep_MVE_RDC_N°044_27_06_2026.pdf
2026-06-29,45,46,1333,Draft-SitRep_MVE_RDC_NA°046_29_06_2026_PAZ.pdf
2026-06-30,46,47,1406,Draft-Final-SitRep_MVE_RDC_NA°047_30_06_2026_IM.pdf
2026-07-01,47,48,1460,SitRep_MVE_RDC_20260701_OK.pdf
2026-07-02,48,49,1502,SitRep_MVE_RDC_N°049_02_07_2026-3.pdf
2026-07-03,49,50,1528,Draft_SitRep_MVE_RDC_N°050_04_07_2026.pdf
2026-07-04,50,51,1561,SitRep_MVE_RDC_N°051_04_07_2026.pdf
2026-07-05,51,52,1624,Draft_SitRep_MVE_RDC_N°052_05_07_2026_CORRIGE-1.pdf
2026-07-06,52,53,1708,Draft_SitRep_MVE_RDC_N°053_06_07_2026_NEW.pdf
2026-07-07,53,54,1759,Draft2_SitRep_MVE_RDC_N°054_07_07_2026.pdf
2026-07-08,54,55,1792,Draft_SitRep_MVE_RDC_N°055_08_07_2026.pdf
2026-07-09,55,56,1830,SitRep_MVE_RDC_N°56_09-07-2026.pdf
2026-07-10,56,57,1873,Draft_SitRep_MVE_RDC_NA°57_10-07-2026_IM_SAM_vf.pdf
2026-07-11,57,58,1926,Draft_SitRep_MVE_RDC_N°58_11-07-2026-final.pdf
2026-07-12,58,59,1963,SitRep-MVE-17-No59-Analytique-final-3.pdf
2026-07-13,59,,2011,Draft_SitRep_MVE_RDC_N°60_13-07-2026_Analytique_VF.pdf
2026-07-14,60,61,2073,Draft_SitRep_MVE_RDC_N_61_14-07-2026_Analytique.pdf
2026-07-15,61,62,2124,Draft_SitRep_MVE_RDC_N_62_15-07-2026_VF.pdf
2026-07-17,63,64,2267,SitRep_MVE_RDC_N°_64_17-07-2026_OKK-2.pdf
2026-07-18,64,65,2344,SitRep_MVE_RDC_N°_65_18-07-2026.pdf
2026-07-19,65,66,2423,SitRep_MVE_RDC_N°_66_19-07-2026.pdf
2026-07-20,66,67,2473,SitRep_MVE_RDC_N°_67_20-07-2026.pdf
2026-07-21,67,68,2531,SitRep_MVE_RDC_N°_68_21-07-2026.pdf
2026-07-22,68,69,2905,SitRep_MVE_RDC_N°_69_22-07-2026.pdf
2026-07-23,69,70,2973,SitRep_MVE_RDC_N°_70_23-07-2026.pdf
2026-07-24,70,71,3075,SitRep_MVE_RDC_N°_71_24-07-2026.pdf
2026-07-25,71,72,3200,SitRep_MVE_RDC_N°_72_25-07-2026.pdf
2026-07-26,72,73,3262,SitRep_MVE_RDC_N°_73_26-07-2026.pdf
2026-07-27,73,74,3360,SitRep_MVE_RDC_N°_74_27-07-2026_OKKK.pdf
2026-07-30,76,77,3605,SitRep_MVE_RDC_N_077_30-07-2026.pdf
